game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
Parfait Remake;2947220;0;False;《纯爱咖啡厅～帕露菲重制版～》是由GIGA/Entergram所制作的经典恋爱冒险游戏的重制版。原版于2005年发售，是广为人知的高口碑杰作。游戏拥有多达6位女主角以及13种结局的丰富内容。著名剧本家丸户史明凭借为本作编写剧本而一战成名。经典主题曲《Leaf Ticket》由KOTOKO献唱。;Simplified Chinese, Traditional Chinese;GIGA, Entergram;HIKARI PULSE;{'coming_soon': False, 'date': '19 Jul, 2024'};£20.94;;Adventure, Casual;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Only Up: SKIBIDI TOGETHER;2928650;0;False;Only Up: SKIBIDI TOGETHER is an incredible multiplayer parkour game where precision and speed are important. Jump and climb over various obstacles. The slightest mistake can result in a fall to the starting location.;English, French, German, Spanish - Spain, Simplified Chinese, Korean, Polish, Russian, Turkish, Japanese;Grand Technology Associates, Rosa Special Studio;Rosa Special Studio, Grand Technology Associates;{'coming_soon': False, 'date': '12 Jul, 2024'};£4.29;;Adventure, Casual, Massively Multiplayer, Simulation;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, HDR available, Family Sharing;
希望之城 The City Of Hope;2424740;0;False;A light city-building game that combines elements of card games and tower defense, where players must survive daily enemy attacks and gradually grow their strength to ultimately defeat powerful invaders.;English, Simplified Chinese;家里蹲工作室;家里蹲工作室;{'coming_soon': False, 'date': '4 Mar, 2024'};£5.89;;Casual, Indie, Strategy;Single-player, Family Sharing;
DEFENDUN : Hero Defense;2323810;0;False;Summon and merge to stop incoming waves of monsters. Use over 100 different units to defend against over 200 monsters. Utilize each unit's unique traits and skills to create your own combinations of units and move them around to clear the stage while avoiding the boss's skills.;Korean, English, Japanese, Simplified Chinese, Traditional Chinese;Gonggamorecontents Inc.;Gonggamorecontents Inc.;{'coming_soon': False, 'date': '14 Feb, 2024'};£7.49;;Casual, Indie, Simulation, Strategy;Single-player, Family Sharing;
Futanari di Funghi;2496640;0;False;"Satisfy your customers by enriching their food with your nutritious &amp; delicious futanari sauce!";English;Ahegames;Shady Corner Games;{'coming_soon': False, 'date': '3 Jun, 2024'};£5.89;;Casual, Indie;Single-player, Family Sharing;
Brothel Secrets 🔞;2721240;0;False;"Brothel Secrets 🔞 is a mesmerizing visual novel for adults that describes the world of brothel work. The protagonist is an unemployed homeless man and a crook who comes to the brothel &quot;Juicy Boobs&quot; in search of freebies";English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Vietnamese, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese, Indonesian, Spanish - Latin America;Octo Games;Octo Games;{'coming_soon': False, 'date': '27 Jan, 2024'};£7.80;;Casual, Indie, Simulation;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;
Roommates;2775110;0;False;You have just entered the society, and since you have not found a satisfactory job for several months, you have to share an apartment with others. Your roommates is three lovely beauties, and then you will have a wonderful journey with three roommates and the people around you;English, Traditional Chinese;Octaday;Octaday;{'coming_soon': False, 'date': '7 Feb, 2024'};£8.50;;Adventure, Casual, RPG, Simulation;Single-player, Family Sharing;
SANYA;1667360;0;False;A playful narrative adventure about the warmth of fleeting childhood memories: about a little boy named Sanya, rescuing a stray puppy, making true friends, and engaging in many exciting adventures in a small town set in the achingly strange and nostalgic period of the 90s.;English, Russian, Spanish - Latin America;helpnode;helpnode;{'coming_soon': False, 'date': '1 Mar, 2024'};£12.79;;Adventure;Single-player, Steam Achievements, Steam Workshop, Family Sharing;
Sex, Camera, Action! 🔞;2955820;0;False;Sex, Camera, Action!🔞 invites you to an exciting journey into the world of the film industry and sexual adventures in an unusual place - an elite country mansion, where an adult film studio is being set up.;English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Vietnamese, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese, Indonesian, Spanish - Latin America;Play & Cum 💦;Play & Cum 💦;{'coming_soon': False, 'date': '27 Jul, 2024'};£7.80;;Casual, Indie, RPG, Simulation;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;
Decimate Drive;2427950;0;False;It's run or die in a killer car infested city. Dash from dumpster to park bench and don’t make a wrong move. Ice cream trucks, snowplows and dodgy vans all want you dead. Decimate Drive, an indie game, is terrifyingly fast-paced and drenched in atmospheric horror.;English;Some Random Designing;Some Random Designing;{'coming_soon': False, 'date': '25 Feb, 2024'};£4.01;;Action, Indie;Single-player, Family Sharing;
