game_name;steam_id;required_age;is_free;description;languages;developers;publishers;release_date;price;metacritic_score;genres;categories;release_date_2
Roundscape Adorevia;2986400;0;False;Roundscape Adorevia is a turn-based 2D adult RPG filled with extensive content, exotic companions, and dozens of story choices. Select your gender, origin, class, and companions to explore the lewd fantasy world of Adorevia.;English;Arvus Games;Arvus Games;{'coming_soon': False, 'date': '2 Aug, 2024'};£13.49;;Indie, RPG;Single-player, Family Sharing;
Abyss School;2473710;0;False;Solve hidden items and puzzles while avoiding abyssal zombies and traps at school.;English, Korean, Simplified Chinese, Japanese;eTIRUe;eTIRUe;{'coming_soon': False, 'date': '19 Jan, 2024'};£3.05;;Adventure;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Raw Metal;2279600;0;False;Infiltrate the depths of an exoplanet mining facility to scavenge for gear and challenge a corrupt megacorporation. Utilize gadgets and equipment in high-stakes stealth, and hone your fighting skills in breakneck combat in this stylish stealth-action dungeon crawler.;English;Team Crucible;Team Crucible;{'coming_soon': False, 'date': '19 Mar, 2024'};£16.75;;Action, Indie;Single-player, Steam Achievements, Full controller support, Family Sharing;
异常情绪回收组;2597460;0;False;异常情绪回收组是一款类rogue回合制游戏。你能在这里遇到各种奇奇怪怪规则的情绪体，这些情绪体的效果都是一团谜，只有不断去解析未知效果的情绪体，不断用生命去积累经验，才能按照它的规则去利用它，获取非常强大的效果。;Simplified Chinese;墨元素;墨元素;{'coming_soon': False, 'date': '28 Jan, 2024'};£9.29;;RPG, Strategy;Single-player, Family Sharing;
全民街篮;2383020;0;True;免费游玩3V3战术竞技篮球游戏《全民街篮》 选择个性十足、不断扩充的球员阵容，巧妙利用球员专属技能和跑位挡拆，随心妙传突破！和队友一起，体验原汁原味的街篮竞技。同时游戏还支持手柄操作，更多有趣体验尽在《全民街篮》;Simplified Chinese;上海洲竞网络科技有限公司;深圳市中手游网络科技有限公司;{'coming_soon': False, 'date': '30 May, 2024'};;;Action, Casual, Massively Multiplayer, Sports, Free To Play, Early Access;Multi-player, MMO, PvP, Cross-Platform Multiplayer, In-App Purchases;
Sumerian Six;1429850;0;False;Lead an unlikely team of commando scientists behind enemy lines to fight Nazis, uncover arcane mysteries, and wield experimental technology to turn the tide of WWII in this real-time tactical stealth adventure.;English, Traditional Chinese, Japanese, French, German, Spanish - Spain, Korean, Russian, Simplified Chinese, Polish;Artificer;Devolver Digital;{'coming_soon': False, 'date': '2 Sep, 2024'};£24.99;81.0;Action, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Open Roads;1497360;0;False;Long-lost family secrets. Hints of a hidden fortune. And miles to go before they sleep. Tess Devine’s relationship with her mom has never been easy, but they’re about to set out together on a journey into the past that they’ll never forget.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese;Open Roads Team;Annapurna Interactive;{'coming_soon': False, 'date': '28 Mar, 2024'};£15.99;;Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing;
Cybernetic Seduction - Season 1;2724540;0;False;Cybernetic Seduction is a choice-driven futuristic adult visual novel filled with sex, humor, and action. Immerse yourself in a brand new world as a newbie agent with one clear goal: to seduce women. Impress the mafia boss, organize heists, and uncover the truth about the mysterious organization.;English, Simplified Chinese;1Thousand;1Thousand;{'coming_soon': False, 'date': '3 May, 2024'};£8.24;;Adventure, Indie;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Idle Fishing;2725560;0;True;"Relax and catch fish in a beautiful environment. Hire skilled crewmates, invest in lucrative buildings, unlock many boats &amp; upgrades. Dive into the challenge of the fishing mini-game for an interactive experience unlike any other!";English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Croatian, Hebrew, Hindi, Lithuanian, Persian, Serbian, Slovak;AO Games;AO Games;{'coming_soon': False, 'date': '24 May, 2024'};;;Casual, Indie, RPG, Simulation;Single-player, Steam Achievements, In-App Purchases, Steam Cloud, Stats;
Unveiling the Unknown;2960590;0;False;Welcome to Balethorn Manor, where five maids are waiting to serve your every need and desire. By the day, talk to your maids, fall in love, and make love. By night, dive into an expansive dungeon system and collect untold riches to level your maids and upgrade the manor!;English;TwistedScarlett60;TwistedScarlett60;{'coming_soon': False, 'date': '7 May, 2024'};£14.99;;Casual, Indie, RPG;Single-player, Family Sharing;
STUFFED;1243200;0;False;A spooky teddy bear first-person shooter where you defend your owner from waves of her nightmares. Play solo or join your friends in up to 4 player online co-op.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese;Waving Bear Studio; TheGamePublisher.com;{'coming_soon': False, 'date': '16 Jun, 2024'};£7.20;;Action, Casual, Indie;Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Family Sharing;
Legendary Hoplite;1479810;0;False;A combination of Action RPG and Tower Defense: slay monsters, find weapons, upgrade your armies, defend your base… Prevent humanity from extinction at the hands of monsters from Greek mythology and ancient tribes. Don't let them cross the gate, commander!;English, Vietnamese, French, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil;TripleBricksGames;Ravenage Games;{'coming_soon': False, 'date': '2 Feb, 2024'};£12.49;;Action, Adventure, Indie, RPG, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Minimalist Tower Defense;2617400;0;False;Collect resources and establish a defense line before dark And then Facing countless enemies;English, Simplified Chinese, Traditional Chinese;Happy213;Happy213;{'coming_soon': False, 'date': '25 Jan, 2024'};£4.29;;Casual, Indie, Strategy;Single-player, Family Sharing;
Uncover the Smoking Gun;2492290;0;False;A Battle of Wits with AI: Solve the case by conversing with a suspect robot using GPT to gather evidence. What single truth emerges from countless dialogues and pieces of information?;English, Korean, French, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Italian, Polish, Portuguese - Brazil;ReLU Games;ReLU Games;{'coming_soon': False, 'date': '23 Jun, 2024'};£16.99;;Adventure, Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Trading Cards;
Roots of Yggdrasil;2071430;0;False;Build settlements, explore the Nine Realms, collect artifacts and upgrade your deck to reach the top of Yggdrasil in this post-Ragnarok roguelike city-builder! Can you survive the end of the world?;English, French;ManaVoid Entertainment;ManaVoid Entertainment, Indie Asylum;{'coming_soon': False, 'date': '6 Sep, 2024'};£16.75;;Indie, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing;
TOKYO PSYCHODEMIC;2397140;0;False;5% of murder cases remain unsolved... it's time to open up these cases and confront the supernatural with forensic science! Solve cases by analyzing evidence and consulting with specialists. Enter a world that artfully blends 2D illustration and real-life visuals!;Japanese;GRAVITY GAME ARISE;GRAVITY;{'coming_soon': False, 'date': '29 May, 2024'};£45.99;;Adventure, Simulation;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
SPY×ANYA: Operation Memories;2170370;0;False;Anya Forger has to create a photo diary! Collect memories at school and other exciting locations. Play with over 15 minigames inspired by the popular manga series! Can you help Anya fill up her photo diary?;English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese;GrooveBoxJapan;Bandai Namco Entertainment;{'coming_soon': False, 'date': 'Jun 27, 2024'};$49.99;;Adventure;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Creatures of Ava;2304440;0;False;Let your empathy guide you as you play an exciting action-adventure, creature-saver game. Understand and tame the creatures of Ava and let them lead you through a variety of ecosystems – all in the hopes of saving the planet from a life-consuming infection.;English, French, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese;Inverge Studios;11 bit studios;{'coming_soon': False, 'date': '7 Aug, 2024'};£16.79;72.0;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
Archaelund;1082970;0;False;Explore a vast open world and crawl through dungeons in first person, then fight tactical turn-based battles from a top-down perspective. Guide your adventuring party through Archaelund, mankind's last frontier, and uncover its many secrets.;English;4 Dimension Games;4 Dimension Games;{'coming_soon': False, 'date': '8 Jan, 2024'};£17.99;;Adventure, RPG, Early Access;Single-player, Steam Cloud, Family Sharing;
Age of Defense;603320;0;False;Age of Defense is a tower defense game full of mind-blowing mayhem. There are tons of monsters and tough defenders in the game each of which fits perfectly into a funny cartoonish setting.;English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese;Battlecruiser Games;Valkyrie Initiative;{'coming_soon': False, 'date': '29 Jul, 2024'};£11.39;;Indie, Strategy;Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing;
Never Mourn;1839820;0;False;Become a powerful battler necromancer and challenge death with your double-edged weapon. Kill and resurrect your enemies to grow your army and do the impossible to revive your child.;English, Japanese, Korean, Simplified Chinese, Traditional Chinese, Indonesian, French, Italian, German, Spanish - Spain, Portuguese - Brazil;Primal Seed;Poysky Productions, Light Up Games;{'coming_soon': False, 'date': '13 May, 2024'};£8.31;;Action, Adventure, Indie, RPG, Early Access;Single-player, Partial Controller Support, Family Sharing;
Vampire: The Masquerade - Justice;2431700;0;False;Become a vampire. Strike from the darkness and drink the blood of your prey. Use stealth, persuasion, and an arsenal of upgradable abilities to sneak past enemies undetected or punish the guilty in the seedy backstreets of nighttime Venice.;English, French, German, Japanese, Korean, Spanish - Latin America, Simplified Chinese;Fast Travel Games;Fast Travel Games;{'coming_soon': False, 'date': '6 Feb, 2024'};£16.49;;Adventure, RPG;Single-player, VR Only, Family Sharing;
The Mobius Machine;2281940;0;False;Discover a vast alien world. Fight the ferocious local fauna and killer machines. Reveal its secrets and find a way to escape. The Mobius Machine is a side-scroller action adventure, with an emphasis on free-form exploration and intense combat.;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Portuguese - Brazil;Madruga Works;Madruga Works;{'coming_soon': False, 'date': '1 Mar, 2024'};£20.99;;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Monuments Renovator;1257280;0;False;Monuments Renovator is a game in which you play the role of a professional monument renovator. You choose from among the world's greatest monuments, restore them to their former glory and learn about history and architecture.;English, French, Italian, German, Spanish - Spain, Simplified Chinese, Polish, Russian, Turkish, Portuguese - Brazil, Traditional Chinese;Monuments Games, Games Incubator;Games Incubator, PlayWay S.A.;{'coming_soon': False, 'date': '8 Mar, 2024'};£4.73;;Casual, Indie, Simulation;Single-player, Steam Achievements, Family Sharing;
In Search Of You;2963510;0;False;This game is to rekindle the exhilarating sensation of youthful passion—to perfectly capture the essence of romantic endeavors, making the experience of falling in love both sweet and meaningful, and to inspire players with the beauty of love within the nightlife entertainment industry.;English, Simplified Chinese, Traditional Chinese;Celestial Star Studios;Celestial Star Studios;{'coming_soon': False, 'date': '18 Jul, 2024'};£5.89;;Casual, RPG, Simulation;Single-player, Family Sharing;
Ruff Ghanor;2087460;0;False;Ruff Ghanor is a Deckbuilder game with Roguelite elements, where each collected card represents a crucial action in your journey. Build the perfect deck, strategize, and create powerful synergies as you progress to face your destiny.;Portuguese - Brazil, English;DX Gameworks;DX Gameworks, Magalu Games, Nonsense Creations;{'coming_soon': False, 'date': '22 Feb, 2024'};£16.75;;Indie, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Duelists of Eden;1664200;0;False;Build a deck and battle online in real-time action with rollback netcode!;English, Japanese;Thomas Moon Kang;Thomas Moon Kang;{'coming_soon': False, 'date': '7 Mar, 2024'};£4.29;;Action, Indie;Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing;
Snow Plowing Simulator;2096030;0;False;Experience the serene joy of snow plowing in this relaxing simulation game! Drive powerful plows, clear roads, and keep your town safe. Uncover a surprising story, face survival challenges, and tackle advanced weather systems. Embrace winter's chill and become the ultimate snow-clearing hero!;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Turkish;FreeMind S.A.;PlayWay S.A., FreeMind S.A.;{'coming_soon': False, 'date': '19 Jun, 2024'};£10.79;;Adventure, Casual, Indie, RPG, Simulation, Early Access;Single-player, Steam Achievements, Family Sharing;
Kingdom of Atham: Crown of the Champions;1676380;0;False;"&quot;Kingdom of Atham: Crown of the Champions - Embark on a medieval fantasy survival odyssey. Reclaim the stolen Crown, battle dark forces, and explore diverse lands. Uncover secrets, wield magic, and craft your destiny. Will you become the true champion of Atham?&quot;";English;Sofa Mauve Studio Inc.;Sofa Mauve Studio Inc.;{'coming_soon': False, 'date': '12 Jan, 2024'};£11.79;;Action, Adventure, Casual, Indie, RPG, Strategy;Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Trading Cards, Includes Source SDK, Family Sharing;
Vertical Kingdom;1902870;0;False;There's nowhere to go but up! Vertical Kingdom is a card-based city builder roguelite with a twist - you can only build vertically, literally reaching for the sky with each city. Lead expeditions to gather resources, construct metropolises, and build ever upwards!;English, Spanish - Spain, French, German, Japanese, Korean, Simplified Chinese, Portuguese - Brazil;Farlight Games Industry; indie.io;{'coming_soon': False, 'date': '15 Apr, 2024'};£16.75;;Indie, Strategy;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Super Dark Deception;2193720;0;False;Death awaits you once again in Super Dark Deception, a fun 2D reimagining of the hit horror maze game, Dark Deception!;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;Glowstick Entertainment;Glowstick Entertainment;{'coming_soon': False, 'date': '12 Jul, 2024'};£14.99;;Action, Indie, RPG;Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Family Sharing;
The Shell Part II: Purgatorio;2712550;0;False;Detective Reiji Tokisaka is back to face down a mystery that spans decades, if not centuries. With the aftermath of his last case weighing on his soul and a long-silent cult resurgent, can he solve the crime—or will it become his curse?;English, Simplified Chinese, Traditional Chinese;Innocent Grey;Shiravune;{'coming_soon': False, 'date': '18 Apr, 2024'};£16.79;;Adventure, Simulation;Single-player, Steam Cloud, Family Sharing;
Idol Party;2955300;0;True;“WOW,you can really dance!” Welcome to IDOL PARTY. Immerse yourself in dance and song to find friends in this social game. Charm your love with moves and melodies, pledge togetherness, marry, and start a family. Tired? Farm or play mini-games for endless fun!;English;LONGYOU TECHNOLOGY PTE.LTD.;LONGYOU TECHNOLOGY PTE.LTD.;{'coming_soon': False, 'date': '15 Aug, 2024'};;;Casual, RPG, Free To Play;Multi-player, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases;
Mushoku Tensei: Jobless Reincarnation Quest of Memories;2459420;0;False;"Immerse yourself in the world of &quot;Mushoku Tensei: Jobless Reincarnation&quot;!";English, Traditional Chinese, Japanese;LANCARSE Ltd.;Bushiroad Inc.;{'coming_soon': False, 'date': '19 Jun, 2024'};£35.54;;Adventure, RPG;Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing;
Fantasy Amusement Park II;2619510;0;False;The gameplay of the game includes visual novel +2D horizontal version shooting. The main story is about the male protagonist traveling to the future world, helping the female protagonist run the amusement park, solving disasters in the future city, and returning to the original world.;English, French, Italian, German, Spanish - Spain, Ukrainian, Russian, Bulgarian, Japanese, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Portuguese - Portugal, Spanish - Latin America, Vietnamese, Arabic, Korean;Cat Paw Game;Shark Shark Game;{'coming_soon': False, 'date': '31 May, 2024'};£4.99;;Casual, RPG;Single-player, Family Sharing;
LustyVerse: Passion on Display;2328740;0;False;As a young college student, you live a mostly mundane life of studying, working and hanging out. However, that all changes when a new girl moves in next door. With her arrival, you start to spend your free time very differently, resulting in many dramatic and interesting twists and turns.;English;Inceton games;Inceton games;{'coming_soon': False, 'date': '22 Mar, 2024'};£5.89;;Adventure, Casual, RPG;Single-player, Family Sharing;
Mini Settlers;2521630;0;False;Mini Settlers is a minimalistic city builder! Settle islands, construct cities, and design efficient logistic networks to fulfill your buildings' needs and fuel population growth to adventure into new worlds.;English, French, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Arabic, Spanish - Spain, Portuguese - Brazil;Knight Owl Games;Goblinz Publishing, IndieArk;{'coming_soon': False, 'date': '8 Aug, 2024'};£8.99;;Indie, Simulation, Strategy, Early Access;Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing;
MY DESTINY GIRLS;2766860;0;False;Xiao Bao opened his eyes, he was surrounded by six women. He embarked on an immersive journey of love with them. Amongst them were a gaming enthusiast, a sultry dancer, a childhood crush, a sexy doctor, an innocent schoolgirl, and a wealthy businesswoman. Who would be his true love?;Simplified Chinese, English, Traditional Chinese;KARMAGAME HK LIMITED;EpicDream Games;{'coming_soon': False, 'date': '28 Mar, 2024'};£6.80;;Adventure, Indie, RPG, Simulation, Strategy;Single-player, Steam Achievements, Captions available, Family Sharing;
SEX Campus🔞;2833810;0;False;Welcome to the exciting world of SEX Campus🔞, where freshman Nick embarks on an incredible journey through real student life. But in this college, every day is a new stage in the game 'Hot Pie,' where real-life quests are intertwined with fun and intriguing tasks.;English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Vietnamese, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese, Indonesian, Spanish - Latin America;Romantic Room;Romantic Room;{'coming_soon': False, 'date': '2 Mar, 2024'};£5.07;;Casual, RPG, Simulation;Single-player, Steam Achievements, Steam Trading Cards, Family Sharing;
Working Sakuya;2861150;0;False;This game is a visual novel game consisting of animation for adults.;English, Simplified Chinese, Japanese;ぬるぬる坊主;ぬるぬる坊主;{'coming_soon': False, 'date': '28 Mar, 2024'};£5.89;;Adventure;Single-player, Family Sharing;
Pet Shop Simulator;2401680;0;False;Run your own pet shop in Pet Shop Simulator! Find new homes for pets, thus fulfilling the dreams of your customers. Take care of the needs of animals by selling the right items and get involved in matters related to the pets' home life!;English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish;Games Incubator;Games Incubator, PlayWay S.A.;{'coming_soon': False, 'date': '21 Jun, 2024'};£12.79;;Casual, Indie, Simulation;Single-player, Steam Achievements, Family Sharing;
Shadow of the Ninja - Reborn;2543760;0;False;After 34 years in the shadows, prepare to see this legendary action adventure in a new light! Looking and playing better than ever before, Shadow of the Ninja - Reborn is Tengo Project’s remake of a cult classic, that the fans have been waiting for.;English, Japanese, Korean, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain;NatsumeAtari;NatsumeAtari, Edigger, ININ;{'coming_soon': False, 'date': '29 Aug, 2024'};£17.99;;Action, Adventure, RPG;Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing;
Mortal Glory 2;2216660;0;False;Manage a team of traveling gladiators in this turn-based fantasy roguelike. Find the best recruits, discover powerful item combinations and come up with clever tactics on the battlefield. The tournament awaits those who desire MORTAL GLORY!;English, French, German, Finnish, Japanese, Korean, Simplified Chinese, Turkish, Portuguese - Brazil;Redbeak Games;Redbeak Games;{'coming_soon': False, 'date': '4 Mar, 2024'};£9.99;;Indie, RPG, Simulation, Strategy;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing;
Hot Therapy;2360260;0;False;Hot Therapy is a sex game where you design the beautiful women of your dreams, invite them to your office, heal them and having exciting moments with them. Enjoy being a strong and charming therapist!;English, French, Italian, German, Arabic, Japanese, Korean, Russian, Turkish;YummySoft;YummySoft;{'coming_soon': False, 'date': '24 Mar, 2024'};£8.31;;Indie, RPG, Simulation;Single-player, Steam Cloud, Family Sharing;
Distant Bloom;1450250;0;False;From a world in ruins to a world in bloom. This serene management game lets you explore an alien planet where things have gone amiss. Harness the power of plants to restore the environment and build a flourishing community with your crewmates.;English, Simplified Chinese, German;Ember Trail;Kinda Brave;{'coming_soon': False, 'date': '27 Mar, 2024'};£16.75;;Adventure, Casual, Indie;Single-player, Steam Achievements, Full controller support, Family Sharing;
Misha's incident;2723520;0;False;Play as Misha, a girl with an unpleasant personality and a not very high level of intelligence. Help her raise funds to repay debts and thereby prevent a tragic end to her life. Explore the peculiar city, look for a job, and make new strange acquaintances.;English, Russian;Zetlaff;Zetlaff;{'coming_soon': False, 'date': '21 Jan, 2024'};£8.50;;RPG;Single-player, Steam Achievements, Family Sharing;
Sex and the Furry Titty 3: Come Inside, Sweety;2221840;0;False;Sex and the Furry Titty 3 is turning the heat up to the max! More sex, more tittes and more wild furry ladies! Five new VOICE ACTED scenarios will plunge you even deeper into the throbbing warmth full of seductice choices. Conquer the match-3 challenges, enjoy the most tempting animated scenes yet.;English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian;Furlough Games;Furlough Games PBS;{'coming_soon': False, 'date': '16 May, 2024'};£6.37;;Adventure, Casual, Indie, Simulation, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Terra Memoria;1912750;0;False;A shortage of magic crystals and the sudden awakening of ancient robots leads six new friends on an incredible investigation across Terra – a cozy and fantastic world that combines 3D and pixel art.;English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese;La Moutarde;Dear Villagers;{'coming_soon': False, 'date': '27 Mar, 2024'};£16.75;;Adventure, Indie, RPG;Single-player, Steam Achievements, Full controller support, Family Sharing;
Hole Dweller;2293850;0;False;Hole dweller is a sandbox incremental furry porn game! You are the captain of a caravan, with spare rooms, not to worry there are plenty of cute and hot characters to fill them with.;English;Thigh High Games;Thigh High Games, Shady Corner Games;{'coming_soon': False, 'date': '19 Jan, 2024'};£6.69;;Action, Adventure, Casual, Indie, RPG;Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing;
Girls of The Tower;2688680;0;False;This is a Rogue-like game with a combination of JRPG, auto chess, and galgame elements. Players can choose from two different female protagonists to embark on a unique adventure. Additionally, players can recruit followers, strategize their formations, and develop their town!;Simplified Chinese, Traditional Chinese, English, Japanese;Robo Cat;OKJOY;{'coming_soon': False, 'date': '23 Feb, 2024'};£5.89;;Adventure, Indie, Strategy;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Everlasting Flowers - Where there is a will, there is a way;2795270;0;False;"A moving, tearful story presented by SPRITE, the creators of &quot;Love, Elections, &amp; Chocolate&quot; and &quot;Aokana - Four Rhythms Across the Blue.&quot;";English, Simplified Chinese, Traditional Chinese, Japanese;sprite, flowers.studio;RIGHTWAY;{'coming_soon': False, 'date': '28 Aug, 2024'};£24.99;;Adventure;Single-player, Steam Achievements, Steam Cloud, Family Sharing;
Let's take a bath with Purin 2;2973500;0;False;I've put on a lot of stickers! Let's peel off the stickers stuck to our bodies using our bare hands or water guns. The one who takes off the most stickers wins. Introducing a realistic bath play simulator.;English, Japanese, French, Spanish - Spain, Spanish - Latin America, Finnish, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Korean;Parabolica Games;Parabolica Games;{'coming_soon': False, 'date': '11 Jul, 2024'};£14.99;;Action, Casual, Indie, Simulation, Sports;Single-player, Family Sharing;
Step-Sister's Pussy 🔞;2889280;0;False;Welcome to the world of Step-Sister's Pussy🔞– an adult visual novel that will immerse you in family intrigues and unpredictable antics. Get ready to delve into the complex relationships of a family where each character hides their secrets and dreams.;English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Vietnamese, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese, Indonesian, Spanish - Latin America;Lust Desires 🖤;Lust Desires 🖤;{'coming_soon': False, 'date': '4 May, 2024'};£7.80;;Casual, Indie, RPG, Simulation;Single-player, Steam Achievements, Family Sharing;
DEVIATOR;2620730;0;False;Deviator is a Metroidvania game centered around deflect, featuring exquisite 2D hand-drawn visuals. Exploring unknown wilderness and mysterious cities, delving into enigmatic realms of consciousness and encountering peculiar creatures. Try to find the truth behind this chaotic world.;English, Simplified Chinese, Traditional Chinese, Turkish;Gami Studio;SapStaR Games;{'coming_soon': False, 'date': '1 Aug, 2024'};£6.22;;Action, Adventure, Indie, Early Access;Single-player, Full controller support, Steam Cloud, Family Sharing;
Berserk Boy;1561340;0;False;BERSERK BOY is a high speed action packed Platformer, with Metroidvania elements. Packed with vibrant and stylish pixel art. Go Berserk! as you change into different forms and use the power of Lightning, Fire, Ice, Air, and Earth to save the planet!;English, French, Italian, German, Japanese, Korean, Russian, Simplified Chinese, Portuguese - Brazil, Spanish - Latin America;BerserkBoy Games;BerserkBoy Games;{'coming_soon': False, 'date': '6 Mar, 2024'};£15.99;83.0;Action, Adventure, Indie;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
Sinners Landing;1816140;0;False;Sinners Landing is an adult-themed, romance-based, dungeon crawling RPG with a card-style battle mechanic. Explore dungeons, slay monsters, get loot, and romance the women of the local town.;English;Flexible Media;Flexible Media;{'coming_soon': False, 'date': '21 Mar, 2024'};£10.87;;Adventure, RPG, Early Access;Single-player, Steam Cloud, Family Sharing;
Klaroro - Abyss of the Soul;2822010;0;False;You're just a weak, pathetic young man who's suddenly found himself in a strange world of fantasy and mystery. What's worse, you're soon fighting off... hot mythical maidens?! Luckily, you've got a phone that shoots hypnotic rays. When you finally manage to hypnotize your sexy enemies...;English, Japanese, Simplified Chinese, Traditional Chinese, Korean, Thai, Russian;Ccryu;Mango Party, Mango Party News;{'coming_soon': False, 'date': '24 Jun, 2024'};£5.89;;Action;Single-player, Family Sharing;
Tortuga - A Pirate's Tale;1604250;0;False;Tortuga - A Pirate’s Tale tells the journey of a pirate captain with a lust for gold and glory who assumes command of a fleet of pirate ships to strike the Caribbean.;English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Korean, Traditional Chinese;Gaming Minds Studios;Kalypso Media;{'coming_soon': False, 'date': '13 Feb, 2024'};£15.39;;Simulation, Strategy;Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing;
Go Mecha Ball;2008510;0;False;Load up and roll out, in this twin stick shooter with roguelike progression! Blast your way through arcade-style levels, using pinball-style physics mixed with an arsenal of devastating weapons. Defeat waves of enemy bots, battle big bosses, and upgrade your mech between runs.;English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese;Whale Peak Games;Super Rare Originals;{'coming_soon': False, 'date': '25 Jan, 2024'};£16.99;;Action;Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing;
