,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
1207,banana,23-04-2024,30739148,0.0,312915.8051949718,26.142053584290064,85,Indie,Sky,"Sky,AestheticSpartan,O'Brian",2923300,2923300,0 - 0,0,0,0.0,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Danish', 'Finnish', 'Greek', 'Indonesian', 'Japanese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Swedish', 'Spanish - Latin America', 'Thai', 'Czech', 'Turkish', 'Ukrainian', 'Hungarian', 'Vietnamese', 'Afrikaans', 'Albanian', 'Amharic', 'Armenian', 'Azerbaijani', 'Assamese', 'Basque', 'Belarusian', 'Bangla', 'Bosnian', 'Cherokee', 'Dari', 'Estonian', 'Filipino', 'Galician', 'Georgian', 'Gujarati', 'Hausa', 'Hebrew', 'Hindi', 'Igbo', 'Irish', 'Icelandic', 'Kannada', 'Kazakh', 'Catalan', 'Quechua', 'Khmer', 'Kinyarwanda', 'Kyrgyz', 'Konkani', 'Croatian', K'iche', 'Latvian', 'Lithuanian', 'Luxembourgish', 'Malayalam', 'Malay', 'Maltese', 'Maori', 'Marathi', 'Macedonian', 'Mongolian', 'Nepali', 'Odia', 'Punjabi (Gurmukhi)', 'Punjabi (Shahmukhi)', 'Persian', 'Scots', 'Serbian', 'Sindhi', 'Sinhala', 'Slovak', 'Slovenian', 'Sorani', 'Sotho', 'Swahili', 'Tajik', 'Tamil', 'Tatar', 'Telugu', 'Tigrinya', 'Tswana', 'Turkmen', 'Uyghur', 'Urdu', 'Uzbek', 'Valencian', 'Welsh', 'Wolof', 'Yoruba', 'Zulu', 'Xhosa']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Portuguese - Brazil', 'Bulgarian', 'Traditional Chinese', 'Simplified Chinese', 'Danish', 'Finnish', 'Greek', 'Indonesian', 'Japanese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Swedish', 'Spanish - Latin America', 'Thai', 'Czech', 'Turkish', 'Ukrainian', 'Hungarian', 'Vietnamese', 'Afrikaans', 'Albanian', 'Amharic', 'Armenian', 'Azerbaijani', 'Assamese', 'Basque', 'Belarusian', 'Bangla', 'Bosnian', 'Cherokee', 'Dari', 'Estonian', 'Filipino', 'Galician', 'Georgian', 'Gujarati', 'Hausa', 'Hebrew', 'Hindi', 'Igbo', 'Irish', 'Icelandic', 'Kannada', 'Kazakh', 'Catalan', 'Quechua', 'Khmer', 'Kinyarwanda', 'Kyrgyz', 'Konkani', 'Croatian', K'iche', 'Latvian', 'Lithuanian', 'Luxembourgish', 'Malayalam', 'Malay', 'Maltese', 'Maori', 'Marathi', 'Macedonian', 'Mongolian', 'Nepali', 'Odia', 'Punjabi (Gurmukhi)', 'Punjabi (Shahmukhi)', 'Persian', 'Scots', 'Serbian', 'Sindhi', 'Sinhala', 'Slovak', 'Slovenian', 'Sorani', 'Sotho', 'Swahili', 'Tajik', 'Tamil', 'Tatar', 'Telugu', 'Tigrinya', 'Tswana', 'Turkmen', 'Uyghur', 'Urdu', 'Uzbek', 'Valencian', 'Welsh', 'Wolof', 'Yoruba', 'Zulu', 'Xhosa']",True,False,False,0,0,1,0,0,0,0,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
1208,reign of guilds,04-04-2024,9654,39.99,312155.0,49.44438001420057,70,Indie,Atlant Games ltd,Atlant Games ltd,716350,716350,0 - 20000,173,0,33.99,0,3,"['English', 'Russian', 'French', 'German', 'Spanish - Spain', 'Portuguese - Portugal']","['English', 'Russian', 'Portuguese - Portugal']",True,False,False,195,58,1,210,0,0,0,0,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False
1209,gestalt: steam & cinder,16-07-2024,18409,19.99,311648.0,5.862918939678536,82,Indie,Fireshine Games,Metamorphosis Games,1231990,1231990,50000 - 100000,244,0,17.99,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",[],True,False,False,293,66,36,347,0,0,0,0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False
1210,songs of silence,04-06-2024,9658,39.99,310683.0,8.54394550155806,0,Indie,"Chimera Entertainment,H2 Interactive (Korea and Japan)",Chimera Entertainment,2195410,2195410,20000 - 50000,268,0,35.99,0,2,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Russian', 'Korean']","['English', 'Korean']",True,False,False,170,53,16,210,0,0,0,0,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
1211,conscript,23-07-2024,17794,19.99,309785.0,8.943197928709889,95,AA,Team17,"Jordan Mochi,Catchweight Studio",1286990,1286990,100000 - 200000,189,0,19.99,0,3,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",[],True,False,False,480,24,34,394,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1212,tavern talk,20-06-2024,20589,17.99,309239.0,8.77890297251394,92,Indie,Gentle Troll Entertainment,Gentle Troll Entertainment,2076140,2076140,0 - 20000,532,0,16.19,0,5,"['English', 'German', 'Japanese', 'Simplified Chinese', 'Korean']",[],True,True,False,0,0,49,315,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
1213,northend tower defense,04-09-2024,64646,7.99,308936.0,4.689085364892894,82,Indie,"Northend Games,Gamersky Games",Northend Games,1669170,1669170,0 - 20000,13,0,4.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Russian']",[],True,False,False,171,34,0,193,0,0,0,0,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False
1214,galacticare,23-05-2024,12476,29.99,308759.0,13.6652980123679,91,Indie,CULT Games,Brightrock Games,494730,494730,50000 - 100000,376,0,26.99,0,1,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Korean', 'Polish']","['English', 'Polish']",True,False,False,108,7,41,177,21,21,21,21,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1215,minds beneath us,31-07-2024,18389,19.99,306334.0,8.99478181049897,0,Indie,BearBoneStudio,BearBoneStudio,1610440,1610440,100000 - 200000,305,0,17.99,0,1,"['Traditional Chinese', 'English', 'Simplified Chinese', 'Japanese']",[],True,False,False,590,18,21,622,0,0,0,0,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
1216,seven lovers in the house,26-03-2024,43904,9.99,305905.0,5.261912776052523,82,Indie,Concrete Interactive顽石发行,Tofu Studio,2774830,2774830,0 - 20000,539,0,8.99,0,0,['Simplified Chinese'],['Simplified Chinese'],True,True,False,441,54,59,573,0,0,0,0,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False
