,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
150,kithack model club,01-08-2024,11862,19.99,171463.0,16.004801494161363,89,Indie,"Floating Origin Interactive,Curve Games",Floating Origin Interactive,2107090,2107090,0 - 20000,108,0,15.99,0,0,['English'],[],True,False,False,109,16,0,124,0,0,0,0,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False
151,a tower full of cats,20-05-2024,41463,4.99,171352.0,2.658659161885786,99,Indie,Devcats,Devcats,2179170,2179170,0 - 20000,169,0,4.49,0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Turkish', 'Ukrainian']","['English', 'Ukrainian']",True,False,True,324,2,70,386,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
152,drug lord tycoon,31-07-2024,16898,11.99,171160.0,7.688269897496598,88,Indie,Duhndal,Duhndal,2450700,2450700,0 - 20000,99,0,11.99,0,0,['English'],['English'],True,False,False,296,35,3,336,0,0,0,0,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False
153,into the necrovale,26-01-2024,15345,14.99,170271.0,10.197507446551173,93,Indie,Tribal-Storm,Casey Clyde,1717090,1717090,0 - 0,0,0,11.99,0,0,['English'],['English'],True,False,True,0,0,0,0,0,0,0,0,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False
154,tomba! special edition,31-07-2024,9464,19.99,170266.0,5.361269289978908,86,Indie,Limited Run Games,Limited Run Games,2851150,2851150,0 - 20000,223,0,19.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']","['English', 'Spanish - Spain']",True,False,False,111,24,31,154,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
155,fairy tail: dungeons,26-08-2024,16430,13.99,169800.0,7.7027946379318815,93,Indie,Kodansha,ginolabo,2305500,2305500,0 - 20000,554,0,11.19,0,1,"['English', 'French', 'Thai', 'Simplified Chinese', 'Japanese', 'Traditional Chinese', 'Korean']",[],True,False,False,241,18,20,262,0,0,0,0,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
156,field of glory: kingdoms,04-06-2024,4836,39.99,169077.0,29.630237681613337,82,AA,Slitherine Ltd.,AGEOD,1985050,1985050,0 - 20000,222,0,39.99,0,0,"['English', 'French', 'Spanish - Spain']","['English', 'Spanish - Spain']",True,False,False,64,7,40,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
157,arco,15-08-2024,10274,19.99,168841.0,5.098042446489322,99,Indie,Panic,"Franek,Max Cahill,Bibiki,Fáyer",2366970,2366970,0 - 20000,0,0,17.99,0,1,['English'],[],True,True,False,79,1,54,0,0,0,0,0,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False
158,last hope,18-04-2024,10810,19.99,167966.0,7.281782067780635,94,Indie,"Poolside games,DreamBig Games",Poolside games,2650630,1443950,0 - 20000,0,0,0.99,0,0,['English'],[],True,True,True,7,4,0,0,0,0,0,0,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False
159,last hope,18-04-2024,10810,19.99,167966.0,7.281782067780635,94,Indie,"Poolside games,DreamBig Games",Poolside games,2650630,765620,0 - 20000,0,0,1.99,0,0,['English'],['English'],True,False,False,2,7,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
160,last hope,18-04-2024,10810,19.99,167966.0,7.281782067780635,94,Indie,"Poolside games,DreamBig Games",Poolside games,2650630,2650630,0 - 0,0,0,15.99,0,0,"['English', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese']","['English', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese']",True,False,False,0,0,30,0,0,0,0,0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
161,smack studio,31-07-2024,13959,14.99,166819.0,61.89405689882235,90,Indie,ThirdPixel Interactive,ThirdPixel Interactive,1739300,1739300,0 - 20000,0,0,14.99,0,0,['English'],['English'],True,False,False,67,16,0,0,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False
162,the grey dream,09-01-2024,15783,12.99,165452.0,4.845216579075951,82,Indie,The Greys,The Greys,2497930,2497930,0 - 20000,68,0,11.04,0,0,"['English', 'Russian', 'Turkish', 'Portuguese - Brazil', 'Simplified Chinese']",[],True,True,True,0,0,75,0,0,0,0,0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
163,quilts and cats of calico,05-03-2024,10536,19.99,165375.0,12.60609181612462,96,Indie,"Monster Couch,Flatout Games",Monster Couch,1993180,1993180,0 - 20000,62,0,17.99,0,1,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Ukrainian']",[],True,True,False,158,9,25,153,0,0,0,0,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False
164,hypnotic idol,18-06-2024,10261,19.99,163926.0,3.916737738327048,79,Indie,azucat,azucat,2797310,2797310,0 - 20000,142,0,16.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","['Japanese', 'Korean']",True,False,False,0,0,12,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
165,night raider,26-01-2024,44974,5.99,163793.0,28.066198713115263,86,Indie,Tsukuyomi,Tsukuyomi,2719290,2719290,0 - 20000,430,0,5.09,0,0,"['English', 'Simplified Chinese']",[],True,False,False,0,0,59,130,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
166,this is a ghost,17-04-2024,12790,14.99,163789.0,24.23037807231731,90,Indie,Nuci,Nuci,1985420,1985420,0 - 20000,14,0,11.99,0,0,"['English', 'French']","['English', 'French']",True,False,False,7,1,14,0,0,0,0,0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False
167,crypt custodian,27-08-2024,10680,19.99,163307.0,6.014406764508275,98,Indie,"Kyle Thompson,Top Hat Studios, Inc.,H2 Interactive Co., Ltd.",Kyle Thompson,2394650,2394650,0 - 20000,272,0,16.99,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Japanese', 'Korean', 'Traditional Chinese']",[],True,False,False,304,4,48,318,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
168,himegashima island,02-08-2024,14305,14.99,163296.0,6.4025414038367305,75,Indie,Kagura Games,Fushidaratei,2991400,2991400,0 - 20000,0,0,11.99,0,0,"['English', 'Japanese', 'Simplified Chinese']",[],True,False,False,23,5,0,0,0,0,0,0,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False
169,starstruck vagabond,24-05-2024,8747,24.99,162429.0,16.54874636758956,0,Indie,"Ben 'Yahtzee' Croshaw,Second Wind",Ben 'Yahtzee' Croshaw,2448930,2448930,0 - 20000,342,0,19.99,0,0,['English'],[],True,False,False,56,0,18,142,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
170,clank!,24-07-2024,7748,22.99,160313.0,11.996352257405444,95,Indie,Dire Wolf,Dire Wolf,1722870,1722870,0 - 20000,123,0,22.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Spanish - Latin America']",[],True,True,False,108,3,21,114,0,0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
171,heading out,07-05-2024,9835,19.99,159911.0,4.301057192445973,81,Indie,Saber Interactive,Serious Sim,1640630,1640630,100000 - 200000,139,0,17.99,0,1,"['English', 'French', 'Italian', 'German', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America']","['English', 'Spanish - Latin America']",True,False,False,163,46,55,192,0,0,0,0,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False
172,the game of sisyphus,11-04-2024,28586,6.99,158283.0,5.66407476855285,81,Indie,cream,cream,2904890,2904890,0 - 0,0,0,4.19,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Spanish - Latin America', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Polish', 'Korean', 'Russian', 'Vietnamese', 'Indonesian', 'Thai']",[],True,False,False,0,0,10,0,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
173,"warhammer 40,000: speed freeks",06-08-2024,102865,0.0,158090.0,5.651413836213646,0,Indie,PLAION,Caged Element Inc.,2078450,2078450,0 - 0,0,0,0.0,0,0,['English'],['English'],True,False,False,0,0,45,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
174,moose miners,10-05-2024,20363,9.99,157701.0,30.35383039123571,69,Indie,Lingon Studios,Lingon Studios,2591410,2591410,0 - 0,0,0,7.99,0,0,['English'],[],True,False,False,0,0,28,104,0,0,0,0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
175,the inquisitor,08-02-2024,4482,39.99,157178.0,5.87829712643099,70,AA,Kalypso Media,The Dust S.A.,1880470,1880470,100000 - 200000,135,16,39.99,0,1,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Russian', 'Portuguese - Brazil', 'Simplified Chinese']","['English', 'German', 'Polish', 'Simplified Chinese']",True,False,False,87,37,41,112,0,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
176,snk vs. capcom svc chaos,20-07-2024,8714,19.99,156773.0,4.365388443927607,0,Indie,SNK CORPORATION,Code Mystics,2442380,2442380,0 - 20000,23,0,19.99,0,0,"['English', 'Spanish - Spain', 'Japanese']",['Japanese'],True,False,False,222,31,50,247,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
177,vivat slovakia,18-04-2024,6256,29.99,155061.0,4.087998735806734,73,Indie,Team Vivat,Team Vivat,2132690,2132690,0 - 20000,162,0,26.99,0,0,"['English', 'Slovak']",['Slovak'],True,False,False,117,53,0,165,0,0,0,0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
178,spy alliance,08-08-2024,93601,1.99,153860.0,0.9404285900243136,70,Indie,ALT Lab,ALT Lab,2757350,2757350,0 - 0,0,0,1.79,0,0,['Simplified Chinese'],['Simplified Chinese'],True,True,False,0,0,55,513,0,0,0,0,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False
179,arena renovation,19-01-2024,13814,19.99,153619.0,6.01014217466712,82,AA,"PlayWay S.A.,FreeMind S.A.",Nesalis Games,948880,948880,0 - 20000,0,0,12.74,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Portuguese - Portugal', 'Turkish', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Norwegian', 'Romanian', 'Spanish - Latin America', 'Swedish', 'Thai', 'Traditional Chinese', 'Ukrainian', 'Vietnamese']","['English', 'Vietnamese']",True,False,False,60,11,23,0,0,0,0,0,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False
180,summer's gone - season 1,10-05-2024,11819,14.99,153346.0,12.394389248708071,96,Indie,OceanAVN,OceanAVN,2240150,2240150,0 - 20000,0,0,14.99,0,2,['English'],[],True,True,True,0,0,44,126,0,0,0,0,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False
181,turlock holmes,21-02-2024,27531,9.99,152748.0,6.043817491612786,75,Indie,Neverland Entertainment,Find the Lamp Games,2142160,2142160,0 - 20000,515,0,7.99,0,0,"['Simplified Chinese', 'English']",[],True,True,False,147,25,19,230,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
182,galaxy idle clicker,18-07-2024,14401,0.0,151939.1911440809,99.91404042132116,76,Indie,Soehnle,Soehnle,2962810,2962810,0 - 0,0,0,0.0,0,0,['English'],[],True,False,False,0,0,100,0,0,0,0,0,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False
183,creator of another world,30-04-2024,10817,18.99,151439.0,28.08123885865699,89,Indie,kuetaro (くえたろう),kuetaro (くえたろう),2761610,2761610,0 - 20000,442,0,15.19,0,0,"['English', 'Japanese']",[],True,False,True,43,11,25,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
184,miss neko: pirates,22-03-2024,47322,3.99,151366.0,3.115070265712853,82,Indie,Toffee Cafe,Orangeee,2695270,2695270,0 - 20000,0,0,3.39,0,1,"['English', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']","['Japanese', 'Korean']",True,False,False,180,37,14,217,0,0,0,0,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False
185,winter survival,06-03-2024,8694,18.99,151064.0,8.359128282051328,0,Indie,"DRAGO entertainment,HeartBeat Games",DRAGO entertainment,1394960,1394960,20000 - 50000,119,0,22.49,0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Turkish', 'Italian', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Ukrainian']","['English', 'Ukrainian']",True,False,False,154,86,25,172,74,74,74,74,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
186,maid of the dead,29-02-2024,9076,19.99,149494.0,7.925857937636709,84,Indie,qureate,"qureate,IXILL LLC.",1868020,1868020,0 - 20000,325,0,17.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",['Japanese'],True,False,False,0,0,19,0,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
187,project demigod,01-02-2024,9426,19.99,148767.0,7.734520511375408,82,Indie,Fast Travel Games,Omnifarious Studios LLC,1646580,1646580,0 - 20000,0,0,19.99,0,0,['English'],[],True,False,False,37,9,0,0,0,0,0,0,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
188,aeruta,15-05-2024,11532,14.99,146384.0,3.823862384264399,86,Indie,"GRAVITY GAME ARISE Co., Ltd.",FromDawn Games,2286780,2286780,0 - 20000,229,0,13.49,0,0,"['Traditional Chinese', 'English', 'Japanese', 'Korean', 'Simplified Chinese']",[],True,False,False,123,14,0,141,0,0,0,0,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False
189,"sex, please",24-05-2024,38909,5.99,145765.0,1.5732950377279882,74,Indie,Evil Boobs Cult,Evil Boobs Cult,2608620,2608620,0 - 20000,0,0,4.24,0,1,"['English', 'Russian', 'Simplified Chinese']","['English', 'Russian', 'Simplified Chinese']",True,False,False,0,0,1,207,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
190,shop legends,03-02-2024,4881,0.0,145540.0,96.4889328536079,51,Indie,Cloudcade,Cloudcade,982300,982300,0 - 0,0,0,0.0,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Portuguese - Brazil', 'Spanish - Latin America']",[],True,False,False,0,0,7,0,0,0,0,0,True,True,False,False,False,True,False,False,True,True,True,False,True,False,False
191,laughing to die,10-04-2024,48759,4.99,145336.0,1.664247236383009,0,AA,Gamera Games,大吉利制作组,2182400,2182400,0 - 20000,239,0,3.99,0,0,['Simplified Chinese'],[],True,False,False,240,12,5,617,1,1,1,1,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
192,cd 2: trap master,28-03-2024,12111,14.99,144122.0,14.886709065862858,84,Indie,"ACE ENTERTAINMENT,Erabit",ACE ENTERTAINMENT,2330870,2330870,0 - 20000,79,0,14.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Russian', 'Japanese', 'German']",[],True,True,False,189,20,0,187,0,0,0,0,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False
193,center station simulator,05-04-2024,9795,18.35,144011.0,37.60065180814037,90,Indie,Nightmare Phoenix,Nightmare Phoenix,2823890,2823890,0 - 20000,0,0,14.68,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']","['English', 'French', 'Spanish - Spain']",True,False,False,21,3,0,0,0,0,0,0,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
194,once a porn a time 2,15-06-2024,11016,14.99,143625.0,5.743886096291238,79,Indie,OPT Studio,OPT Studio,2735510,2735510,0 - 0,0,0,14.99,0,0,['English'],[],True,False,True,0,0,16,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
195,hellbreach: vegas,14-08-2024,16668,14.99,143445.0,3.6441777939194218,78,Indie,Iceberg Interactive,Infinity Ape Studios,1691320,1691320,50000 - 100000,90,0,8.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",[],True,False,False,92,33,30,125,0,0,0,0,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
196,i am part-time worker!!,26-06-2024,27661,5.99,143115.0,1.1508789912695352,77,Indie,KomeFukuro,KomeFukuro,2985930,2985930,0 - 20000,67,0,5.99,0,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",[],True,False,False,81,32,2,114,0,0,0,0,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
197,bore blasters,08-03-2024,19335,9.99,142092.0,7.815683895628099,84,Indie,8BitSkull,8BitSkull,2398170,2398170,0 - 20000,233,0,8.99,0,1,"['English', 'French', 'German', 'Japanese', 'Simplified Chinese', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Spanish - Latin America']","['English', 'French', 'German', 'Japanese', 'Simplified Chinese', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Spanish - Latin America']",True,True,True,213,35,10,244,0,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
198,pool cleaning simulator,05-06-2024,14585,15.99,141787.0,5.968698775476018,70,Indie,"FreeMind S.A.,PlayWay S.A.","Rubens Games,FreeMind S.A.",2165620,2165620,0 - 20000,22,0,9.59,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Vietnamese', 'Indonesian']",[],True,False,False,141,55,15,147,537,115,537,115,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False
199,from glory to goo,02-04-2024,15469,11.99,140951.0,16.68310705082089,92,Indie,Stratagem Blue,Stratagem Blue,2607060,2607060,0 - 20000,161,0,9.59,0,0,['English'],['English'],True,False,False,84,11,23,0,0,0,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
200,solo leeching~35-year-old magician journey,21-06-2024,15751,10.99,140940.0,1.780681503149469,88,Indie,072 Project,アンクルおじ,2696070,2696070,0 - 20000,120,0,9.89,0,0,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']",[],True,False,False,0,0,7,0,0,0,0,0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False
201,spectral scream,28-08-2024,17856,9.99,140690.0,4.114998906714487,84,Indie,STOIC Ent.,STOIC Ent.,2620240,2620240,0 - 20000,19,0,8.99,0,0,"['English', 'Korean', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",[],True,False,False,35,7,0,0,0,0,0,0,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False
202,1 to 1 humanoid edible toys,07-08-2024,21002,7.99,140013.0,2.4110427035103563,95,Indie,无,"汉谟拉比炒面,我的屁是香哒",2976720,2976720,0 - 20000,129,0,7.19,0,0,['Simplified Chinese'],[],True,True,False,540,5,6,777,0,0,0,0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
203,ark of charon,08-07-2024,7322,21.99,138039.0,15.685483626994415,83,Indie,SUNSOFT,"Angoo Inc.,SUNSOFT",2827810,2827810,0 - 20000,164,0,21.99,0,0,"['English', 'Japanese', 'Thai', 'Traditional Chinese', 'Korean', 'Simplified Chinese']",[],True,False,False,38,8,0,0,0,0,0,0,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False
204,and the hero was never seen again,10-02-2024,11972,14.99,137489.0,7.030944723548148,90,Indie,Kagura Games,Circle Poison,2582660,2582660,0 - 20000,291,0,11.99,0,0,"['English', 'Japanese', 'Simplified Chinese']",[],True,False,False,26,2,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
205,united penguin kingdom,09-03-2024,12818,14.99,137453.0,9.254702087867598,79,Indie,"GrabTheGames,UpgradePoint",Turquoise Revival Games,2635350,2635350,20000 - 50000,127,0,13.49,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Turkish', 'Ukrainian', 'Vietnamese']",[],True,False,False,100,24,63,105,48,48,48,48,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
206,first dwarf,19-06-2024,7002,24.99,136381.0,4.20162183578225,71,Indie,"Star Drifters,4Divinity",Star Drifters,1714900,1714900,0 - 20000,0,0,21.24,0,0,"['English', 'French', 'German', 'Simplified Chinese', 'Polish', 'Japanese', 'Italian', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Greek', 'Dutch', 'Indonesian', 'Korean', 'Portuguese - Portugal', 'Russian', 'Romanian', 'Swedish', 'Turkish', 'Ukrainian', 'Vietnamese', 'Hungarian', 'Slovak', 'Latvian', 'Arabic', 'Thai']","['English', 'Thai']",True,False,False,65,25,0,0,0,0,0,0,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False
207,multi turret academy,18-01-2024,17922,8.99,135974.0,10.859354431064316,97,Indie,Scarlet Academy,Scarlet Academy,1869270,1869270,0 - 20000,51,0,8.09,0,0,"['English', 'Simplified Chinese', 'Russian', 'Traditional Chinese', 'Japanese']",[],True,False,False,101,4,0,136,0,0,0,0,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False
208,a twisted path to renown,06-06-2024,5416,29.99,135445.0,32.539100142740494,54,Indie,Game-Labs,Game-Labs,2304660,2304660,0 - 0,0,0,26.99,0,2,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Ukrainian', 'Japanese', 'Korean', 'Simplified Chinese']","['English', 'Simplified Chinese']",True,False,False,0,0,0,196,0,0,0,0,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False
209,repair this!,19-04-2024,13207,11.99,134665.0,7.129466789211678,88,Indie,hgiSoft,hgiSoft,2517200,2517200,0 - 20000,0,0,9.59,0,0,"['English', 'Russian']",[],True,False,False,0,0,21,0,0,0,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
210,clickyland,03-06-2024,30891,4.99,134579.0,3.507301277365972,84,Indie,Sokpop Collective,Sokpop Collective,2751050,2751050,0 - 20000,178,0,4.99,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Polish']",[],True,True,False,74,15,10,121,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
211,biomorph,05-04-2024,8327,19.99,134478.0,10.81047014652968,94,Indie,Lucid Dreams Studio,Lucid Dreams Studio,1430220,1430220,0 - 20000,138,0,17.99,0,0,"['English', 'French']",[],True,False,False,93,8,30,0,0,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
212,konosuba - god's blessing on this wonderful world! love for these clothes of desire!,07-02-2024,3261,49.99,133582.0,11.676291704663813,90,Indie,PQube,MAGES. Inc.,2349140,2349140,0 - 20000,119,0,44.99,0,3,"['English', 'Japanese']",['Japanese'],True,False,False,69,3,29,0,0,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
213,tunnel escape,22-08-2024,8953,19.99,133472.0,7.871207655983875,83,Indie,Saikey Studios,Elzee,2908950,2908950,20000 - 50000,226,0,19.99,0,1,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']","['Japanese', 'Traditional Chinese']",True,False,False,144,29,17,163,0,0,0,0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False
214,warcana,29-08-2024,8667,16.99,132527.0,9.17396185427534,0,AA,Team17,1000 Orks,2022930,2022930,0 - 20000,0,0,16.99,0,3,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",[],True,False,False,151,63,98,242,0,0,0,0,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
215,liu shan maker,13-05-2024,15876,9.99,132333.0,2.356807953029711,81,Indie,"Playmeow,ACG creator",Xian,1997480,1997480,0 - 20000,85,0,8.99,0,0,"['Traditional Chinese', 'English', 'Russian', 'Japanese', 'Thai', 'Simplified Chinese']","['Japanese', 'Simplified Chinese']",True,False,False,0,0,0,149,0,0,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
216,casino simulator,23-05-2024,21835,6.99,132078.0,5.142398956146814,91,Indie,Lodos Games,Lodos Games,2898270,2898270,0 - 20000,24,0,5.59,0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Portuguese - Brazil', 'Danish', 'Indonesian', 'Dutch', 'Finnish', 'Japanese', 'Polish', 'Hungarian', 'Norwegian', 'Portuguese - Portugal', 'Russian', 'Turkish', 'Ukrainian', 'Greek', 'Czech', 'Swedish']",[],True,False,False,21,0,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
217,gori: cuddly carnage,29-08-2024,8286,21.99,131175.0,4.812221953692276,98,Indie,"Wired Productions,CouchPlay Interactive (Greater China)",Angry Demon Studio,1299690,1299690,0 - 20000,0,0,17.59,0,8,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil']","['English', 'German', 'Portuguese - Brazil']",True,False,False,229,5,34,249,0,0,0,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
218,churn vector,11-01-2024,11565,14.99,130913.0,11.39826729620468,91,Indie,Naelstrof,"Naelstrof,Eugene,Archival",2686900,2686900,0 - 20000,176,0,10.49,0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Romanian', 'Russian', 'Simplified Chinese', 'Thai', 'Ukrainian', 'Vietnamese']",[],True,True,True,0,0,0,126,36,36,36,36,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
