name,releaseDate,copiesSold,price_x,revenue,avgPlaytime,reviewScore,publisherClass,publishers_x,developers_x,steamId,appid,estimated owners,price_y,dlc count,supported languages,header image,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,categories,genres,tags
crime scene cleaner,14-08-2024,285596,19.99,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200,1040200,200000 - 500000,19.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Russian', 'Portuguese - Brazil', 'Turkish', 'Japanese', 'Korean']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1040200/header.jpg?t=1724757514,6092,369,196,256,256,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Simulation","Crime,Simulation,Gore,Singleplayer,First-Person,Mature,Action,Adventure,Atmospheric,Funny,Exploration,Realistic,Stealth,Indie,Life Sim,Walking Simulator,Hacking,Heist,Great Soundtrack,Violent"
kebab chefs! - restaurant simulator,19-01-2024,312189,17.99,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270,1001270,20000 - 50000,14.39,0,"['English', 'German', 'Russian', 'Turkish', 'French', 'Italian', 'Spanish - Spain', 'Polish', 'Portuguese - Portugal', 'Simplified Chinese', 'Japanese', 'Korean']",https://cdn.akamai.steamstatic.com/steam/apps/1001270/header.jpg?t=1705794661,234,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support","Simulation,Early Access","Early Access,Simulation,Multiplayer,Cooking,Physics,Sandbox,Management,Time Management,Funny,FPS,Building,Immersive Sim,Crafting,Life Sim,Character Customization,3D,Party-Based RPG,First-Person,Open World,Relaxing"
predecessor,20-08-2024,433605,0.0,4523839.944318563,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200,961200,100000 - 200000,0.0,3,['English'],https://cdn.akamai.steamstatic.com/steam/apps/961200/header.jpg?t=1669881222,1574,236,236,274,274,"Multi-player,PvP,Online PvP,Full controller support","Action,Massively Multiplayer,Strategy,Early Access","MOBA,Strategy,Third Person,Multiplayer,Early Access,Action,Team-Based,Shooter,Massively Multiplayer,Third-Person Shooter,Competitive,PvP,Sci-fi,Fantasy,Realistic,Tactical,3D,Free to Play,Addictive,Online Co-Op"
palia,25-03-2024,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930,2707930,0 - 0,0.0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/2707930/header.jpg?t=1711736193,0,0,0,0,0,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,In-App Purchases,Partial Controller Support","Adventure,RPG,Simulation",
"little kitty, big city",09-05-2024,206880,24.99,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980,1177980,0 - 20000,22.49,1,"['English', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'French', 'German', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1177980/header.jpg?t=1715566251,1858,0,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Casual,Indie,Simulation","Cats,Wholesome,Cute,Exploration,Family Friendly,Adventure,Funny,Singleplayer,Cozy,Open World,Comedy,Indie,Sandbox,Simulation,Cartoony,3D,3D Platformer,Colorful,Stylized,Nonlinear"
secrets of grindea,29-02-2024,314988,14.99,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770,269770,200000 - 500000,14.99,2,['English'],https://cdn.akamai.steamstatic.com/steam/apps/269770/header.jpg?t=1595253038,4603,870,0,1012,0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie,RPG,Early Access","Early Access,Action RPG,Online Co-Op,Pixel Graphics,Character Customization,Funny,Rogue-lite,Hack and Slash,Rogue-like,RPG,JRPG,2D,Story Rich,Top-Down,Cute,Fantasy,Action,Anime,Colorful,Combat"
chrono ark,02-05-2024,301197,24.99,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930,1188930,200000 - 500000,19.99,0,"['English', 'Korean', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/1188930/header.jpg?t=1656835305,3718,1283,2,1384,2,"Single-player,Steam Cloud","Adventure,Indie,RPG,Strategy,Early Access","Roguelike Deckbuilder,RPG,Strategy,Indie,Adventure,Anime,Rogue-lite,Early Access,Card Game,Party-Based RPG,Card Battler,Difficult,Rogue-like,Female Protagonist,Turn-Based Combat,Cute,Singleplayer,Deckbuilding,Turn-Based,Psychological Horror"
nova drift,12-08-2024,445361,17.99,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210,858210,200000 - 500000,14.99,1,"['English', 'French', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Korean']",https://cdn.akamai.steamstatic.com/steam/apps/858210/header.jpg?t=1647333348,7123,918,15,750,15,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Action,Indie,Early Access","Action Roguelike,Indie,Space,Action,Rogue-lite,Arcade,Shooter,Bullet Hell,Shoot 'Em Up,Replay Value,Early Access,Arena Shooter,2D,Great Soundtrack,Retro,Rogue-like,Singleplayer,Action RPG,Colorful,Casual"
kingdom rush 5: alliance td,25-07-2024,245264,19.99,4042356.0,9.09008744972337,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080,2849080,200000 - 500000,19.99,0,"['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2849080/header.jpg?t=1721909708,4471,882,549,866,799,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Indie,Strategy","Strategy,Tower Defense,2D,Cartoon,Cartoony,Dragons,Fantasy,Singleplayer,Building,Funny,Indie,Medieval,Action,Adventure,Comedy,Magic,Dark"
norland,18-07-2024,170621,29.99,3991591.0,18.46350698089453,79,AA,Hooded Horse,Long Jaunt,1857090,1857090,100000 - 200000,23.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Ukrainian', 'Turkish', 'Russian', 'Czech', 'Hungarian']",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1857090/header.jpg?t=1721906482,2994,1375,1375,1463,1463,"Single-player,Steam Cloud,Family Sharing","Simulation,Strategy,Early Access","Strategy,Simulation,Base-Building,City Builder,Colony Sim,Management,Building,Sandbox,Open World,Resource Management,Grand Strategy,Moddable,Historical,Singleplayer,Survival,Replay Value,4X,Economy,Early Access,RTS"
