,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,AppID,Genres
1258,1000xresist,09-05-2024,19741,19.99,334157.0,6.69160734978218,97,Indie,Fellow Traveller,sunset visitor 斜陽過客,1675830,1675830,"Adventure,Indie"
1259,graven,23-01-2024,17974,24.99,333332.0,6.531416022391941,62,Indie,"3D Realms,Fulqrum Publishing",Slipgate Ironworks™,1371690,1371690,"Action,Adventure,RPG"
1260,odd realm,16-08-2024,36336,19.99,332069.0,19.791110214266443,90,Indie,Unknown Origin Games Inc,Unknown Origin Games Inc,688060,688060,"Indie,Simulation,Strategy"
1261,9 days,08-03-2024,24560,14.99,331338.0,10.927570712807812,62,Indie,MVR,MVR,2075720,2075720,"Action,Adventure,RPG"
1262,little-known galaxy,20-05-2024,19170,19.99,331297.0,23.28082226944025,95,Indie,Carbon & Kay,Carbon & Kay,2521600,2521600,"Adventure,Casual,Indie,RPG,Simulation"
1263,ultros,13-02-2024,18046,24.99,329960.0,9.48568392777418,84,Indie,Kepler Interactive,Hadoque,2386310,2386310,"Adventure,Indie"
1264,goblin stone,12-03-2024,16012,24.99,329360.0,23.564467837801327,55,Indie,Orc Chop Games,Orc Chop Games,1521970,1521970,"Indie,RPG,Strategy"
1265,the rogue prince of persia,27-05-2024,20166,19.99,328937.0,4.042430898585165,85,AAA,Ubisoft,Evil Empire,2717880,2717880,"Action,Adventure,Early Access"
1266,headquarters: world war ii,11-04-2024,10073,39.99,328150.0,17.039335573177947,78,AA,Slitherine Ltd.,Starni Games,1840800,1840800,"Simulation,Strategy"
1267,immortal family,11-07-2024,37184,13.99,327846.0,20.283770415253127,56,Indie,方块游戏(CubeGame),一起来修仙工作室,2013240,2013240,"Casual,Indie,RPG,Simulation,Strategy"
1268,sinister night 2,03-04-2024,37602,9.99,327297.0,60.02804119836794,82,Indie,Bug Inventors,Bug Inventors,2761670,2761670,"Action,Adventure,Casual,RPG,Strategy,Early Access"
1269,alex jones: nwo wars,03-01-2024,20806,17.76,323316.0,1.3669062849562543,94,Indie,NWO Wars Team,NWO Wars Team,2487350,2487350,"Action,Indie"
1270,pathless woods,02-04-2024,24230,19.99,318984.0,31.74362012573788,77,Indie,AniYa Games Studio,AniYa Games Studio,1726130,1726130,"Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access"
1271,bō: path of the teal lotus,17-07-2024,17722,19.99,318836.0,8.127703594245002,81,AA,Humble Games,"Squid Shock Studios,Christopher Stair,Trevor Youngquist",1614440,1614440,"Action,Adventure,Indie"
1272,sons of valhalla,05-04-2024,19088,19.99,316497.0,4.631982260827467,65,AA,Hooded Horse,Pixel Chest,1409830,1409830,"Action,RPG,Simulation,Strategy"
1273,banana,23-04-2024,30739148,0.0,312915.8051949718,26.142053584290064,85,Indie,Sky,"Sky,AestheticSpartan,O'Brian",2923300,2923300,"Adventure,Casual,Simulation,Strategy,Free To Play"
1274,reign of guilds,04-04-2024,9654,39.99,312155.0,49.44438001420057,70,Indie,Atlant Games ltd,Atlant Games ltd,716350,716350,"Action,Adventure,Indie,Massively Multiplayer,RPG,Early Access"
1275,gestalt: steam & cinder,16-07-2024,18409,19.99,311648.0,5.862918939678536,82,Indie,Fireshine Games,Metamorphosis Games,1231990,1231990,"Action,Adventure,Indie,RPG"
1276,sacred x：heavens wonderland,09-05-2024,33358,0.0,311127.0,15.218051665922731,77,Indie,Sacred X：Heavens Wonderland,Sacred X：Heavens Wonderland,2857890,2857890,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy,Free To Play"
1277,conscript,23-07-2024,17794,19.99,309785.0,8.943197928709889,95,AA,Team17,"Jordan Mochi,Catchweight Studio",1286990,1286990,"Action,Adventure,Indie"
1278,tavern talk,20-06-2024,20589,17.99,309239.0,8.77890297251394,92,Indie,Gentle Troll Entertainment,Gentle Troll Entertainment,2076140,2076140,"Adventure,Casual,Indie"
1279,survisland / 实境求生,14-04-2024,46318,14.99,309178.0,8.71751675590061,65,Indie,Easy Joy Ltd.,Super Trampers Studio,839630,839630,"Action,Adventure,Casual,Indie,RPG,Simulation"
1280,northend tower defense,04-09-2024,64646,7.99,308936.0,4.689085364892894,82,Indie,"Northend Games,Gamersky Games",Northend Games,1669170,1669170,"Action,Indie,Simulation,Strategy"
1281,galacticare,23-05-2024,12476,29.99,308759.0,13.6652980123679,91,Indie,CULT Games,Brightrock Games,494730,494730,"Simulation,Strategy"
1282,master detective archives: rain code plus,17-07-2024,5701,59.99,307802.0,14.836618388852264,79,AA,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",2903950,2903950,"Action,Adventure"
1283,shadow corridor 2 雨ノ四葩,29-03-2024,20555,18.99,307662.0,33.5026854448185,87,Indie,Space Onigiri Game LLC,Space Onigiri Game LLC,2310700,2310700,"Action,Adventure,Indie,Strategy"
1284,seven lovers in the house,26-03-2024,43904,9.99,305905.0,5.261912776052523,82,Indie,Concrete Interactive顽石发行,Tofu Studio,2774830,2774830,"Casual,Indie,RPG,Simulation,Strategy"
1285,"braid, anniversary edition",14-05-2024,28250,19.99,302053.0,5.463457597179698,95,Indie,"Thekla, Inc.","Thekla, Inc.",499180,499180,"Action,Adventure,Indie"
1286,isles of sea and sky,22-05-2024,18161,19.99,301453.0,10.816936790814603,92,Indie,"Cicada Games,Gamera Games",Cicada Games,1233070,1233070,"Adventure,Indie"
1287,bingle bingle,18-03-2024,30163,10.99,301311.0,3.3555247951829443,87,Indie,Knitting Games,Knitting Games,2789810,2789810,"Indie,Early Access"
1288,wings of seduction: bust 'em out!,19-07-2024,29429,12.99,299544.0,8.826653736954144,96,Indie,"Hide Games,Ramen Cat Studio",Ramen Cat Studio,2455140,2455140,"Action,Adventure,Indie"
1289,vigor,16-05-2024,16585,19.99,298380.0,17.057238219828335,54,AA,Bohemia Interactive,Bohemia Interactive,2818260,2818260,"Action,Adventure,Early Access"
1290,反转21克,01-02-2024,46368,8.99,294934.0,11.705099196192378,76,Indie,想象颗粒,想象颗粒,2685620,2685620,RPG
1291,hololive treasure mountain,31-07-2024,36003,8.99,291300.0,8.571670578322678,97,Indie,holo Indie,BeXide Inc.,2972990,2972990,Casual
